"Currency","Date","We buy","We sell","ECB rates"
"USD","2021-01-01","1.25950","1.19800","1.22710"
"USD","2021-01-02","1.25950","1.19800","1.22710"
"USD","2021-01-03","1.25950","1.19800","1.22710"
"USD","2021-01-04","1.26000","1.19850","1.22960"
"USD","2021-01-05","1.25850","1.19750","1.22710"
"USD","2021-01-06","1.26250","1.20100","1.23380"
"USD","2021-01-07","1.25700","1.19600","1.22760"
"USD","2021-01-08","1.25800","1.19700","1.22500"
"USD","2021-01-09","1.25800","1.19700","1.22500"
"USD","2021-01-10","1.25800","1.19700","1.22500"
"USD","2021-01-11","1.24450","1.18400","1.21630"
"USD","2021-01-12","1.24750","1.18700","1.21610"
"USD","2021-01-13","1.24800","1.18750","1.21660"
"USD","2021-01-14","1.24250","1.18200","1.21240"
"USD","2021-01-15","1.24250","1.18200","1.21230"
"USD","2021-01-16","1.24250","1.18200","1.21230"
"USD","2021-01-17","1.24250","1.18200","1.21230"
"USD","2021-01-18","1.23750","1.17750","1.20640"
"USD","2021-01-19","1.24250","1.18200","1.21320"
"USD","2021-01-20","1.24050","1.18050","1.21010"
"USD","2021-01-21","1.24650","1.18600","1.21580"
"USD","2021-01-22","1.24650","1.18600","1.21580"
"USD","2021-01-23","1.24650","1.18600","1.21580"
"USD","2021-01-24","1.24650","1.18600","1.21580"
"USD","2021-01-25","1.24300","1.18250","1.21520"
"USD","2021-01-26","1.24750","1.18700","1.21430"
"USD","2021-01-27","1.23850","1.17800","1.21140"
"USD","2021-01-28","1.24400","1.18350","1.20910"
"USD","2021-01-29","1.24550","1.18500","1.21360"
"USD","2021-01-30","1.24550","1.18500","1.17080"
"USD","2021-01-31","1.24550","1.18500","1.21360"
"USD","2021-02-01","1.24000","1.18000","1.20840"
"USD","2021-02-02","1.23300","1.17300","1.20440"
"USD","2021-02-03","1.23250","1.17250","1.20170"
"USD","2021-02-04","1.22800","1.16850","1.19960"
"USD","2021-02-05","1.23250","1.17250","1.19830"
"USD","2021-02-06","1.23250","1.17250","1.19830"
"USD","2021-02-07","1.23250","1.17250","1.19830"
"USD","2021-02-08","1.23650","1.17650","1.20250"
"USD","2021-02-09","1.23950","1.17900","1.21040"
"USD","2021-02-10","1.24400","1.18350","1.21270"
"USD","2021-02-11","1.23750","1.18900","1.21470"
"USD","2021-02-12","1.23950","1.17900","1.21080"
"USD","2021-02-13","1.23950","1.17900","1.21080"
"USD","2021-02-14","1.23950","1.17900","1.21080"
"USD","2021-02-15","1.24300","1.18300","1.21290"
"USD","2021-02-16","1.24300","1.18300","1.21430"
"USD","2021-02-17","1.23350","1.17350","1.20600"
"USD","2021-02-18","1.23800","1.17800","1.20840"
"USD","2021-02-19","1.24400","1.18350","1.21390"
"USD","2021-02-20","1.24400","1.18350","1.21390"
"USD","2021-02-21","1.24400","1.18350","1.21390"
"USD","2021-02-22","1.24500","1.18450","1.21330"
"USD","2021-02-23","1.24500","1.18450","1.21430"
"USD","2021-02-24","1.24300","1.18250","1.21460"
"USD","2021-02-25","1.25450","1.19350","1.22250"
"USD","2021-02-26","1.24300","1.18250","1.21210"
"USD","2021-02-27","1.24300","1.18250","1.21210"
"USD","2021-02-28","1.24300","1.18250","1.21210"
"USD","2021-03-01","1.23500","1.17500","1.20530"
"USD","2021-03-02","1.22550","1.17750","1.20280"
"USD","2021-03-03","1.23550","1.17550","1.20480"
"USD","2021-03-04","1.23400","1.17400","1.20340"
"USD","2021-03-05","1.21950","1.16000","1.19380"
"USD","2021-03-06","1.21950","1.16000","1.19380"
"USD","2021-03-07","1.21950","1.16000","1.19380"
"USD","2021-03-08","1.21600","1.15700","1.18660"
"USD","2021-03-09","1.22100","1.16150","1.18940"
"USD","2021-03-10","1.22050","1.16100","1.18920"
"USD","2021-03-11","1.22050","1.16100","1.19690"
"USD","2021-03-12","1.22250","1.16300","1.19330"
"USD","2021-03-13","1.22250","1.16300","1.19330"
"USD","2021-03-14","1.22250","1.16300","1.19330"
"USD","2021-03-15","1.22250","1.16300","1.19200"
"USD","2021-03-16","1.21900","1.16000","1.19260"
"USD","2021-03-17","1.22050","1.16150","1.19070"
"USD","2021-03-18","1.22150","1.16200","1.19120"
"USD","2021-03-19","1.21800","1.15850","1.18910"
"USD","2021-03-20","1.21800","1.15850","1.18910"
"USD","2021-03-21","1.21800","1.15850","1.18910"
"USD","2021-03-22","1.22300","1.16350","1.19260"
"USD","2021-03-23","1.21700","1.15750","1.18830"
"USD","2021-03-24","1.21200","1.15300","1.18250"
"USD","2021-03-25","1.20950","1.15100","1.18020"
"USD","2021-03-26","1.20850","1.15000","1.17820"
"USD","2021-03-27","1.20850","1.15000","1.17820"
"USD","2021-03-28","1.20850","1.15000","1.17820"
"USD","2021-03-29","1.20650","1.14800","1.17840"
"USD","2021-03-30","1.20200","1.14350","1.17410"
"USD","2021-03-31","1.20300","1.14450","1.17250"
"USD","2021-04-01","1.20500","1.14650","1.17460"
"USD","2021-04-02","1.20700","1.14850","1.17460"
"USD","2021-04-03","1.20700","1.14850","1.17460"
"USD","2021-04-04","1.20700","1.14850","1.17460"
"USD","2021-04-05","1.20700","1.14850","1.17460"
"USD","2021-04-06","1.21350","1.15450","1.18120"
"USD","2021-04-07","1.22100","1.16150","1.18840"
"USD","2021-04-08","1.22050","1.16100","1.18730"
"USD","2021-04-09","1.21850","1.15900","1.18880"
"USD","2021-04-10","1.21850","1.15900","1.18880"
"USD","2021-04-11","1.21850","1.15900","1.18880"
"USD","2021-04-12","1.22100","1.16150","1.19040"
"USD","2021-04-13","1.22300","1.16400","1.18960"
"USD","2021-04-14","1.22600","1.16650","1.19640"
"USD","2021-04-15","1.22750","1.16800","1.19700"
"USD","2021-04-16","1.22850","1.16850","1.19860"
"USD","2021-04-17","1.22850","1.16850","1.19860"
"USD","2021-04-18","1.22850","1.16850","1.19860"
"USD","2021-04-19","1.23200","1.17200","1.20350"
"USD","2021-04-20","1.23500","1.17500","1.20510"
